time,counts
0,0
1,40
2,70
3,92
4,92
5,92
6,92
7,92
8,92
9,92
10,92
11,92
12,92
13,92
14,92
15,92
16,92
17,92
18,92
19,92
20,92
21,92
22,92
23,92
24,92
25,92
26,92
27,92
28,92
29,92
30,92
31,92
32,92
33,93
34,93
35,93
36,93
37,93
38,93
39,93
40,93
41,93
42,93
43,93
44,93
45,93
46,93
47,93
48,93
49,93
50,93
51,93
52,93
53,94
54,94
55,94
56,95
57,99
58,100
59,100
60,101
61,104
62,111
63,115
64,126
65,136
66,146
67,162
68,176
69,190
70,215
71,237
72,276
73,314
74,348
75,413
76,466
77,527
78,605
79,662
80,723
81,793
82,841
83,902
84,963
85,1022
86,1066
87,1126
88,1192
89,1240
90,1298
91,1359
92,1411
93,1463
94,1510
95,1553
96,1604
97,1650
98,1686
99,1734
100,1776
101,1828
102,1865
103,1905
104,1945
105,1980
106,2021
107,2053
108,2091
109,2129
110,2159
111,2164
112,2164
113,2164
114,2164
115,2164
116,2164
117,2164
118,2164
119,2164
120,2164
121,2164
122,2164
123,2164
124,2164
125,2164
126,2164
127,2164
128,2165
129,2165
130,2165
131,2165
132,2165
133,2165
134,2165
135,2165
136,2165
137,2165
138,2165
139,2165
140,2165
141,2165
142,2165
143,2165
144,2165
145,2165
146,2165
147,2165
148,2165
149,2165
150,2165
151,2165
152,2165
153,2165
154,2165
155,2165
156,2165
157,2165
158,2165
159,2165
160,2165
161,2167
162,2169
163,2170
164,2172
165,2173
166,2174
167,2176
168,2179
169,2183
170,2189
171,2194
172,2201
173,2209
174,2219
175,2241
176,2259
177,2279
178,2312
179,2337
180,2374
181,2414
182,2469
183,2516
184,2588
185,2655
186,2726
187,2812
188,2892
189,2949
190,3024
191,3090
192,3157
193,3218
194,3294
195,3339
196,3389
197,3450
198,3508
199,3580
200,3639
201,3691
202,3755
203,3820
204,3865
205,3910
206,3952
207,3998
208,4044
209,4088
210,4128
211,4164
212,4211
213,4245
214,4275
215,4311
216,4355
217,4386
218,4420
219,4446
220,4479
221,4483
222,4483
223,4483
224,4483
225,4483
226,4483
227,4483
228,4483
229,4483
230,4483
231,4483
232,4483
233,4483
234,4483
235,4483
236,4483
237,4483
238,4483
239,4483
240,4483
241,4483
242,4483
243,4483
244,4483
245,4483
246,4483
247,4483
248,4483
249,4483
250,4484
251,4484
252,4484
253,4484
254,4484
255,4484
256,4484
257,4484
258,4484
259,4484
260,4484
261,4484
262,4484
263,4484
264,4484
265,4484
266,4484
267,4484
268,4484
269,4484
270,4484
271,4484
272,4484
273,4484
274,4486
275,4488
276,4489
277,4495
278,4498
279,4504
280,4511
281,4515
282,4528
283,4542
284,4558
285,4582
286,4599
287,4616
288,4645
289,4683
290,4710
291,4751
292,4802
293,4856
294,4925
295,4987
296,5036
297,5101
298,5173
299,5226
300,5295
301,5354
302,5397
303,5483
304,5547
305,5594
306,5656
307,5716
308,5782
309,5842
310,5888
311,5932
312,5976
313,6037
314,6085
315,6154
316,6202
317,6246
318,6282
319,6326
320,6360
321,6398
322,6447
323,6476
324,6510
325,6521
326,6521
327,6521
328,6521
329,6521
330,6521
331,6521
332,6521
333,6521
334,6521
335,6521
336,6521
337,6521
338,6521
339,6521
340,6521
341,6521
342,6521
343,6521
344,6521
345,6521
346,6521
347,6521
348,6521
349,6521
