time,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,4
30,6
31,7
32,10
33,10
34,16
35,18
36,24
37,27
38,33
39,40
40,42
41,48
42,52
43,56
44,59
45,60
46,64
47,71
48,74
49,76
50,79
51,86
52,92
53,98
54,104
55,104
56,108
57,111
58,114
59,120
60,122
61,124
62,126
63,129
64,129
65,132
66,137
67,144
68,151
69,158
70,160
71,163
72,165
73,170
74,173
75,174
76,177
77,178
78,181
79,185
80,188
81,194
82,202
83,204
84,211
85,216
86,219
87,225
88,230
89,236
90,240
91,244
92,251
93,258
94,264
95,267
96,269
97,272
98,281
99,289
100,293
101,297
102,300
103,307
104,314
105,317
106,321
107,323
108,328
109,334
110,342
111,346
112,349
113,351
114,355
115,358
116,361
117,365
118,369
119,377
120,381
121,386
122,391
123,394
124,398
125,401
126,404
127,410
128,414
129,418
130,422
131,426
132,429
133,433
134,433
135,437
136,440
137,440
138,445
139,450
140,455
141,459
142,463
143,467
144,470
145,475
146,481
147,484
148,486
149,489
150,495
151,499
152,502
153,509
154,513
155,516
156,519
157,522
158,529
159,530
160,531
161,535
162,540
163,543
164,548
165,554
166,557
167,560
168,565
169,568
170,570
171,573
172,576
173,579
174,583
175,587
176,591
177,593
178,600
179,603
180,606
181,610
182,612
183,617
184,620
185,622
186,625
187,626
188,628
189,633
190,638
191,639
192,641
193,645
194,650
195,655
196,659
197,663
198,666
199,671
200,674
201,677
202,678
203,684
204,686
205,689
206,693
207,696
208,697
209,699
210,701
211,703
212,708
213,710
214,714
215,716
216,717
217,717
218,717
219,717
220,717
221,717
222,717
223,717
224,717
225,717
226,717
227,717
228,717
229,717
230,717
231,717
232,717
233,717
234,717
235,717
236,717
237,717
238,717
239,717
240,717
241,717
242,717
243,717
244,717
245,717
246,717
247,717
248,717
249,717
250,717
251,717
252,717
253,717
254,717
255,717
256,717
257,717
258,717
259,717
260,717
261,717
262,717
263,717
264,717
265,717
266,717
267,717
268,717
269,717
270,717
271,717
272,717
273,717
274,717
275,717
276,717
277,717
278,717
279,717
280,717
281,717
282,717
283,717
284,717
285,717
286,717
287,717
288,717
289,717
290,717
291,717
292,717
293,717
294,717
295,717
296,717
297,717
298,717
299,717
300,717
301,717
302,717
303,717
304,717
305,717
306,717
307,717
308,717
309,717
310,717
311,717
312,717
313,717
314,717
315,717
316,717
317,717
318,717
319,717
320,717
321,717
322,717
323,717
324,717
325,717
326,717
327,717
328,717
329,717
330,717
331,717
332,717
333,717
334,717
335,717
336,717
337,717
338,717
339,717
340,717
341,717
342,717
343,717
344,717
345,717
346,717
347,717
348,717
349,717
350,717
351,717
352,717
353,717
354,717
355,717
356,717
357,717
358,717
359,717
360,717
361,717
362,717
363,717
364,717
365,717
366,717
367,717
368,717
369,717
370,717
371,717
372,717
373,717
374,717
375,717
376,717
377,717
378,717
379,717
380,717
381,717
382,717
383,717
384,717
385,717
386,717
387,717
388,717
389,717
390,717
391,717
392,717
393,717
394,717
395,717
396,717
397,717
398,717
399,717
400,717
401,717
402,717
403,717
404,717
405,717
406,717
407,717
408,717
409,717
410,717
411,717
412,717
413,717
414,717
415,717
416,717
417,717
418,717
419,717
420,717
421,717
422,717
423,717
424,717
425,717
426,717
427,717
428,717
429,717
430,717
431,717
432,717
433,717
434,717
435,717
436,717
437,717
438,717
439,717
440,717
441,717
442,717
443,717
444,717
445,717
446,717
447,717
448,717
449,717
450,717
451,717
452,717
453,717
454,717
455,717
456,717
457,717
458,717
459,717
460,717
461,717
462,717
463,717
464,717
465,717
466,717
467,717
468,717
469,717
470,717
471,717
472,717
473,717
474,717
475,717
476,717
477,717
478,717
479,717
480,717
481,717
482,717
483,717
484,717
485,717
486,717
487,717
488,717
489,717
490,717
491,717
492,717
493,717
494,717
495,717
496,717
497,717
498,717
499,717
500,717
501,717
502,717
503,717
504,717
505,717
506,717
507,717
508,717
509,717
510,717
511,717
512,717
513,717
514,717
515,717
516,717
517,717
518,717
519,717
520,717
521,717
522,717
523,717
524,717
525,717
526,717
527,717
528,717
529,717
530,717
531,717
532,717
533,717
534,717
535,717
536,717
537,717
538,717
539,717
540,717
541,717
542,717
543,717
544,717
545,717
546,717
547,717
548,717
549,717
550,717
551,717
552,717
553,717
554,717
555,717
556,717
557,717
558,717
559,717
560,717
561,717
562,717
563,717
564,717
565,717
566,717
567,717
568,717
569,717
570,717
571,717
572,717
573,717
574,717
575,717
576,717
577,717
578,717
579,717
580,717
581,717
582,717
583,717
584,717
585,717
586,717
587,717
588,717
589,717
590,717
591,717
592,717
593,717
594,717
595,717
596,717
597,717
598,717
599,717
600,717
601,717
602,717
602,717
