time,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,4
32,5
33,9
34,9
35,10
36,15
37,18
38,18
39,19
40,23
41,24
42,27
43,29
44,34
45,38
46,38
47,38
48,39
49,41
50,41
51,41
52,43
53,46
54,48
55,54
56,55
57,56
58,59
59,62
60,62
61,63
62,65
63,70
64,70
65,70
66,70
67,70
68,70
69,70
70,70
71,70
72,70
73,70
74,70
75,70
76,70
77,70
78,70
79,70
80,70
81,70
82,70
83,70
84,70
85,70
86,70
87,70
88,70
89,70
90,70
91,70
92,70
93,70
94,70
95,70
96,70
97,70
98,70
99,70
100,70
101,70
102,70
103,70
104,70
105,70
106,70
107,70
108,70
109,70
110,70
111,70
112,70
113,70
114,70
115,70
116,70
117,70
118,70
119,70
120,70
121,70
122,70
123,71
124,72
125,73
126,77
127,78
128,78
129,81
130,88
131,92
132,97
133,102
134,109
135,122
136,138
137,149
138,167
139,185
140,203
141,226
142,249
143,279
144,298
145,336
146,359
147,378
148,408
149,432
150,462
151,485
152,519
153,545
154,568
155,593
156,622
157,651
158,677
159,701
160,740
161,766
162,792
163,822
164,848
165,866
166,899
167,931
168,961
169,993
170,1030
171,1052
172,1082
173,1114
174,1134
175,1159
176,1178
177,1201
178,1226
179,1253
180,1280
181,1307
182,1328
183,1352
184,1378
185,1410
186,1440
187,1453
188,1478
189,1500
190,1534
191,1560
192,1577
193,1597
194,1612
195,1633
196,1667
197,1686
198,1706
199,1726
200,1746
201,1773
202,1798
203,1822
204,1845
205,1863
206,1883
207,1909
208,1932
209,1959
210,1987
211,2016
212,2044
213,2067
214,2084
215,2117
216,2131
217,2154
218,2189
219,2209
220,2236
221,2256
222,2276
223,2301
224,2328
225,2347
226,2364
227,2385
228,2409
229,2430
230,2458
231,2468
232,2478
233,2496
234,2509
235,2534
236,2550
237,2569
238,2592
239,2614
240,2639
241,2653
242,2677
243,2699
244,2719
245,2742
246,2766
247,2792
248,2813
249,2833
250,2849
251,2868
252,2887
253,2908
254,2933
255,2945
256,2959
257,2973
258,2994
259,3011
260,3023
261,3040
262,3067
263,3087
264,3109
265,3132
266,3154
267,3174
268,3201
269,3217
270,3236
271,3256
272,3277
273,3292
274,3310
275,3330
276,3348
277,3361
278,3384
279,3408
280,3436
281,3460
282,3482
283,3505
284,3523
285,3535
286,3565
287,3582
288,3605
289,3632
290,3646
291,3659
292,3681
293,3705
294,3728
295,3752
296,3785
297,3802
298,3816
299,3836
300,3865
301,3888
302,3908
303,3932
304,3950
305,3967
306,3982
307,4001
308,4024
309,4048
310,4068
311,4091
312,4106
313,4142
314,4155
315,4173
316,4199
317,4216
318,4237
319,4253
320,4273
321,4295
322,4311
323,4330
324,4355
325,4372
326,4391
327,4407
328,4423
329,4435
330,4454
331,4478
332,4502
333,4522
334,4542
335,4566
336,4581
337,4599
338,4630
339,4655
340,4668
341,4689
342,4706
343,4731
344,4753
345,4772
346,4790
347,4812
348,4839
349,4859
350,4873
351,4898
352,4916
353,4936
354,4956
355,4975
356,4988
357,5010
358,5024
359,5038
360,5060
361,5091
362,5107
363,5124
364,5141
365,5155
366,5175
367,5189
368,5217
369,5231
370,5256
371,5279
372,5303
373,5319
374,5337
375,5349
376,5363
377,5378
378,5399
379,5422
380,5447
381,5466
382,5493
383,5517
384,5543
385,5556
386,5574
387,5598
388,5615
389,5638
390,5660
391,5684
392,5704
393,5723
394,5736
395,5748
396,5775
397,5788
398,5800
399,5818
400,5837
401,5855
402,5878
403,5896
404,5923
405,5936
406,5956
407,5976
408,5992
409,6012
410,6024
411,6051
412,6073
413,6094
414,6115
415,6132
416,6152
417,6169
418,6195
419,6211
420,6226
421,6248
422,6262
423,6277
424,6300
425,6319
426,6336
427,6352
428,6366
429,6382
430,6405
431,6421
432,6430
433,6446
434,6469
435,6484
436,6500
437,6519
438,6543
439,6568
440,6580
441,6603
442,6618
443,6638
444,6659
445,6681
446,6692
447,6708
448,6729
449,6754
450,6767
451,6789
452,6804
453,6818
454,6838
455,6855
456,6876
457,6888
458,6908
459,6927
