time,counts
0,0
1,0
2,0
3,0
4,1
5,3
6,3
7,3
8,3
9,4
10,5
11,10
12,12
13,15
14,19
15,26
16,35
17,47
18,62
19,72
20,93
21,117
22,149
23,177
24,205
25,233
26,274
27,323
28,390
29,434
30,513
31,591
32,671
33,735
34,816
35,872
36,928
37,1003
38,1068
39,1131
40,1194
41,1257
42,1318
43,1386
44,1444
45,1493
46,1574
47,1642
48,1698
49,1760
50,1815
51,1866
52,1934
53,1992
54,2048
55,2098
56,2151
57,2200
58,2253
59,2313
60,2373
61,2423
62,2470
63,2537
64,2598
65,2650
66,2723
67,2775
68,2832
69,2899
70,2953
71,2996
72,3054
73,3104
74,3163
75,3222
76,3287
77,3352
78,3401
79,3454
80,3512
81,3576
82,3625
83,3675
84,3740
85,3797
86,3865
87,3920
88,3972
89,4017
90,4069
91,4123
92,4168
93,4209
94,4263
95,4303
96,4349
97,4399
98,4441
99,4481
100,4529
101,4578
102,4641
103,4704
104,4754
105,4798
106,4849
107,4913
108,4975
109,5023
110,5088
111,5138
112,5196
113,5245
114,5303
115,5345
116,5399
117,5457
118,5509
119,5557
120,5609
121,5653
122,5699
123,5760
124,5810
125,5875
126,5926
127,5972
128,6026
129,6078
130,6122
131,6176
132,6216
133,6255
134,6298
135,6352
136,6398
137,6431
138,6483
139,6529
140,6572
141,6623
142,6676
143,6736
144,6791
145,6848
146,6910
147,6955
148,7030
149,7079
150,7132
151,7195
152,7245
153,7305
154,7364
155,7420
156,7468
157,7514
158,7558
159,7615
160,7663
161,7708
162,7737
163,7793
164,7846
165,7884
166,7941
167,7993
168,8030
169,8074
170,8131
171,8175
172,8230
173,8290
174,8346
175,8394
176,8443
177,8489
178,8535
179,8594
180,8647
181,8676
182,8732
183,8790
184,8831
185,8878
186,8922
187,8965
188,9016
189,9067
190,9117
191,9164
192,9218
193,9253
194,9306
195,9345
196,9394
197,9445
198,9490
199,9540
200,9583
201,9637
202,9695
203,9740
204,9800
205,9854
206,9899
207,9962
208,10029
209,10087
210,10136
211,10191
212,10251
213,10306
214,10370
215,10409
216,10463
217,10522
218,10579
219,10625
220,10676
221,10732
222,10775
223,10816
224,10877
225,10933
226,10983
227,11048
228,11091
229,11155
230,11205
231,11251
232,11302
233,11365
234,11411
235,11459
236,11521
237,11568
238,11618
239,11668
240,11712
241,11755
242,11817
243,11874
244,11917
245,11964
246,12017
247,12065
248,12115
249,12169
250,12225
251,12271
252,12312
253,12364
254,12411
255,12460
256,12506
257,12551
258,12615
259,12654
260,12694
261,12741
262,12786
263,12837
264,12876
265,12929
266,12977
267,13021
268,13084
269,13142
270,13191
271,13231
272,13283
273,13325
274,13375
275,13428
276,13481
277,13535
278,13586
279,13631
280,13686
281,13731
282,13778
283,13827
284,13886
285,13940
286,13998
287,14054
288,14100
289,14134
290,14174
291,14235
292,14279
293,14336
294,14390
295,14439
296,14494
297,14538
298,14590
299,14646
300,14710
301,14758
302,14815
303,14863
304,14915
305,14964
306,15009
307,15062
308,15114
309,15171
310,15212
311,15263
312,15312
313,15373
314,15409
315,15463
316,15519
317,15571
318,15621
319,15667
320,15705
321,15751
322,15796
323,15845
324,15888
325,15938
326,15989
327,16026
328,16080
329,16138
330,16173
331,16217
332,16257
333,16305
334,16353
335,16404
336,16440
337,16486
338,16541
339,16593
340,16646
341,16703
342,16756
343,16803
344,16852
345,16910
346,16948
347,17002
348,17053
349,17102
350,17161
351,17206
352,17245
353,17302
354,17364
355,17423
356,17481
357,17541
358,17602
359,17643
360,17683
361,17721
362,17767
363,17835
364,17877
365,17918
366,17965
367,18004
368,18061
369,18120
370,18162
371,18207
372,18244
373,18291
374,18342
375,18376
376,18431
377,18483
378,18525
379,18574
380,18614
381,18677
382,18729
383,18775
384,18823
385,18887
386,18688
387,18983
388,19033
389,19071
390,19136
391,19189
392,19240
393,19273
394,19338
395,19382
396,19419
397,19472
398,19539
399,19585
400,19640
401,19695
402,19731
403,19791
404,19839
405,19886
406,19933
407,19990
408,20026
409,20085
410,20131
411,20184
412,20240
413,20286
414,20335
415,20397
416,20452
417,20503
418,20556
419,20612
420,20665
421,20701
422,20764
423,20812
424,20870
425,20926
426,20979
427,21030
428,21086
429,21125
430,21176
431,21227
432,21290
