time,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,4
53,4
54,4
55,4
56,6
57,6
58,6
59,8
60,11
61,13
62,17
63,18
64,20
65,28
66,35
67,37
68,45
69,56
70,66
71,80
72,96
73,110
74,118
75,136
76,156
77,178
78,198
79,238
80,290
81,333
82,373
83,415
84,477
85,534
86,594
87,652
88,720
89,810
90,923
91,1012
92,1131
93,1239
94,1384
95,1556
96,1680
97,1839
98,1991
99,2164
100,2330
101,2507
102,2694
103,2858
104,3047
105,3216
106,3369
107,3546
108,3725
109,3916
110,4086
111,4325
112,4510
113,4690
114,4884
115,5030
116,5220
117,5383
118,5565
119,5718
120,5886
121,6060
122,6198
123,6352
124,6503
125,6647
126,6812
127,6941
128,7087
129,7249
130,7362
131,7504
132,7631
133,7785
134,7938
135,8065
136,8224
137,8341
138,8494
139,8628
140,8764
141,8898
142,9020
143,9155
144,9291
145,9418
146,9558
147,9671
148,9818
149,9932
150,10049
151,10194
152,10284
153,10284
154,10284
155,10284
156,10284
157,10284
158,10284
159,10284
160,10284
161,10284
162,10284
163,10284
164,10284
165,10284
166,10284
167,10284
168,10284
169,10284
170,10284
171,10284
172,10284
173,10284
174,10284
175,10284
176,10284
177,10284
178,10284
179,10284
180,10284
181,10284
182,10284
183,10284
184,10284
185,10284
186,10284
187,10284
188,10284
189,10284
190,10284
191,10285
192,10285
193,10285
194,10285
195,10285
196,10285
197,10285
198,10285
199,10285
200,10285
201,10285
202,10285
203,10285
204,10285
205,10285
206,10285
207,10285
208,10285
209,10287
210,10288
211,10290
212,10291
213,10293
214,10294
215,10299
216,10306
217,10313
218,10317
219,10328
220,10335
221,10342
222,10352
223,10357
224,10364
225,10382
226,10400
227,10421
228,10434
229,10458
230,10482
231,10515
232,10553
233,10599
234,10628
235,10686
236,10753
237,10808
238,10871
239,10958
240,11031
241,11126
242,11225
243,11300
244,11428
245,11558
246,11704
247,11866
248,12016
249,12203
250,12376
251,12552
252,12725
253,12877
254,13070
255,13264
256,13461
257,13684
258,13857
259,14063
260,14248
261,14448
262,14623
263,14808
264,15012
265,15208
266,15409
267,15590
268,15813
269,15997
270,16181
271,16358
272,16572
273,16768
274,16957
275,17130
276,17309
277,17509
278,17700
279,17886
280,18076
281,18237
282,18460
283,18613
284,18817
285,18968
286,19164
287,19359
288,19565
289,19758
290,19936
291,20125
292,20296
293,20494
294,20649
295,20846
296,21050
297,21209
298,21403
299,21560
300,21759
301,21935
302,22139
303,22346
304,22523
305,22716
306,22905
307,23104
308,23287
309,23492
310,23662
311,23890
312,24086
313,24297
314,24514
315,24671
316,24857
317,25039
318,25256
319,25432
320,25671
321,25871
322,26090
323,26304
324,26497
325,26711
326,26869
327,27066
328,27240
329,27460
330,27655
331,27878
332,28071
333,28257
334,28455
335,28607
336,28820
337,29001
338,29205
339,29364
340,29556
341,29767
342,29951
343,30165
344,30365
345,30547
346,30731
347,30910
348,31116
349,31265
350,31441
351,31584
352,31765
353,31950
354,32149
355,32346
356,32525
357,32713
358,32879
359,33071
360,33202
361,33367
362,33520
363,33654
364,33808
365,33947
366,34122
367,34292
368,34429
369,34585
370,34723
371,34880
372,35035
373,35167
374,35312
375,35458
376,35593
377,35765
378,35898
379,36059
380,36183
381,36332
382,36457
383,36597
384,36754
385,36876
386,37017
387,37138
388,37244
389,37384
390,37499
391,37633
392,37747
393,37881
394,38023
395,38126
396,38275
397,38423
398,38554
399,38696
400,38820
401,38951
402,39086
403,39208
404,39348
405,39473
406,39614
407,39754
408,39861
409,39993
410,40106
411,40227
412,40341
413,40450
414,40580
415,40722
416,40814
417,40952
418,41067
419,41204
420,41328
421,41449
422,41578
423,41716
424,41830
425,41953
426,42050
427,42179
428,42325
429,42419
430,42541
431,42673
432,42784
433,42931
434,43038
435,43154
436,43272
437,43383
438,43495
439,43613
440,43737
441,43855
442,43964
443,44076
